,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TTC12,317.2347975,-0.244911712,0.058111307,-4.214527649,2.50E-05,0.000106946
GPR161,143.933553,-0.245107554,0.080966556,-3.027269097,0.002467742,0.006305075
DGKB,2.424361907,-0.245196603,0.122903592,-1.995032037,0.046039386,0.081195386
CCND2,744.4841062,-0.245216338,0.061903937,-3.961239758,7.46E-05,0.000282957
ACSM1,54.86191013,-0.245279303,0.122624439,-2.000248115,0.045473479,0.080342094
GPR75,23.27990575,-0.24538617,0.068460897,-3.584325938,0.00033795,0.001082965
HPGDS,53.97271708,-0.245440379,0.078213104,-3.138097902,0.001700481,0.004539578
FBXL22,31.37872481,-0.245442841,0.05969134,-4.111866811,3.92E-05,0.000160149
MPO,4.542098993,-0.245729399,0.110421597,-2.225374431,0.026056113,0.049658534
ITGA6,2764.378195,-0.2458198,0.076210527,-3.225536013,0.00125737,0.003472283
INS-IGF2,2.923603841,-0.245837485,0.161126639,-1.525740781,0.127074434,0.192573731
IGFBP3,3174.050526,-0.245840561,0.067301695,-3.652813832,0.000259382,0.000859019
TPTEP2,18.19828906,-0.245943698,0.080766469,-3.045121344,0.002325864,0.005979922
FMNL1,607.6179661,-0.245977381,0.060532059,-4.063588563,4.83E-05,0.000192747
CXorf42,17.06725483,-0.245987419,0.043467916,-5.659057072,1.52E-08,1.37E-07
TSPYL2,575.0713619,-0.246023125,0.046878056,-5.248151123,1.54E-07,1.12E-06
ZBTB4,2289.506071,-0.246053296,0.036904855,-6.667233801,2.61E-11,4.06E-10
CHST6,69.12198962,-0.246228287,0.109337167,-2.252009029,0.024321701,0.046750654
FBXO10,208.0783026,-0.246241008,0.042954822,-5.73255797,9.89E-09,9.26E-08
HYDIN,93.27921236,-0.246303771,0.09652514,-2.551705926,0.010719696,0.022939602
TP53TG5,0.481834112,-0.246371059,0.219359564,-1.123137986,0.261378895,0.352453134
AQP8,1.211631781,-0.246394384,0.143758295,-1.713948981,0.086538096,0.139304315
SUN2,3091.610411,-0.246502153,0.046780331,-5.269354599,1.37E-07,1.01E-06
CCDC141,7.634584552,-0.246839559,0.096185082,-2.566297744,0.010279055,0.022135018
CPNE4,14.38797187,-0.2469172,0.239877375,-1.029347596,0.303316365,0.398346354
IGFBP6,201.9824562,-0.246954501,0.084664171,-2.916871414,0.003535615,0.008653626
SH3TC1,289.3582599,-0.247003147,0.055793995,-4.427056121,9.55E-06,4.53E-05
C5orf39,52.33154946,-0.247033107,0.074490061,-3.316323053,0.000912103,0.00262328
PSD,66.29104399,-0.247087597,0.096660064,-2.556253186,0.01058061,0.022684584
CPVL,417.9420341,-0.247158057,0.06806993,-3.6309433,0.000282387,0.000926463
C21orf121,1.588982779,-0.247246242,0.191777915,-1.289232083,0.197317414,0.279144032
TPT1,46063.26466,-0.247467171,0.041531281,-5.958573097,2.54E-09,2.71E-08
RPL4,23490.80971,-0.247494599,0.041565995,-5.954256512,2.61E-09,2.77E-08
SIAE,830.5017597,-0.24755741,0.059580599,-4.155000337,3.25E-05,0.000135226
PLAC4,11.69169981,-0.247582286,0.141845417,-1.745437324,0.080908774,0.131482943
C10orf41,35.75226983,-0.247634933,0.103445824,-2.393861098,0.016672061,0.033723799
CDH12,8.385675177,-0.247687214,0.099477569,-2.489880039,0.012778622,0.026758619
TMEM74,4.407974023,-0.247749339,0.151770732,-1.632392062,0.10259692,0.160704069
HLX,132.7266551,-0.247774857,0.061933397,-4.000666331,6.32E-05,0.000243834
SNCB,1.316926936,-0.247873365,0.205120458,-1.208428298,0.22688256,0.313785599
CCL5,971.266459,-0.247878071,0.099541287,-2.490203596,0.012766994,0.026740238
FAM86FP,51.14101443,-0.247951106,0.067297592,-3.684397859,0.000229244,0.000770039
MANSC1,1091.945024,-0.247987921,0.055924975,-4.434296515,9.24E-06,4.41E-05
LTA,21.60799371,-0.24812009,0.109393015,-2.268152956,0.023319886,0.045062499
PPAP2B,1242.633113,-0.248205453,0.050355408,-4.929072399,8.26E-07,5.07E-06
P2RY8,157.0584235,-0.248364623,0.080610956,-3.081028129,0.002062872,0.00538036
ITGB2,1947.141061,-0.24845875,0.072052616,-3.448296025,0.000564135,0.001709966
FLJ45244,52.60033481,-0.248498091,0.066931443,-3.712725721,0.000205039,0.000698831
TMEM22,56.47878773,-0.248503052,0.062839683,-3.954556128,7.67E-05,0.000290392
GOLGA6L1,0.216570981,-0.24863564,0.794054486,-0.313121636,0.754188252,0.814395454
ARHGAP25,312.668746,-0.248642803,0.066003262,-3.767129016,0.000165136,0.000576402
ZNF211,239.7389019,-0.248667646,0.042107563,-5.905534025,3.52E-09,3.62E-08
GIMAP4,639.8861297,-0.24877361,0.061534415,-4.042837038,5.28E-05,0.00020831
CCDC84,99.30446943,-0.248833555,0.050907707,-4.887934877,1.02E-06,6.10E-06
SPRY1,720.1934521,-0.248937468,0.069981286,-3.557200523,0.000374828,0.001187935
TRIM54,3.152882324,-0.248960633,0.198890669,-1.251746169,0.210662371,0.294727654
GGT8P,0.86906649,-0.249073465,0.154043849,-1.616899775,0.105899917,0.165112965
NRN1L,2.263055706,-0.24916116,0.123159455,-2.023077806,0.043065126,0.076655018
UBXN6,1555.168533,-0.24916955,0.040815133,-6.104832449,1.03E-09,1.18E-08
C8orf4,1619.041577,-0.249260208,0.111927206,-2.226984982,0.025948278,0.049473297
C14orf34,1.029572473,-0.249349876,0.192143919,-1.297724527,0.194382012,0.275557244
SLC2A9,66.93108077,-0.249357203,0.059952516,-4.159245008,3.19E-05,0.000133035
CD96,165.4745838,-0.249366496,0.10383787,-2.401498572,0.016328073,0.033122704
GLRX,622.9204124,-0.249414056,0.064897785,-3.84318287,0.000121449,0.000437421
C1orf162,235.2850986,-0.249539464,0.062068034,-4.020418351,5.81E-05,0.000226616
C12orf70,2.99453497,-0.249555816,0.106342386,-2.346720109,0.018939476,0.03759395
PLXNB1,2084.693621,-0.249661178,0.048255561,-5.173728662,2.29E-07,1.60E-06
SIK1,1502.642208,-0.249712583,0.078861443,-3.166472395,0.001543,0.004166413
TGFA,215.7369093,-0.249753099,0.097058528,-2.573221598,0.010075667,0.021752934
IGLL1,0.317401039,-0.249776697,0.279801196,-0.892693459,0.372021354,0.470439568
PPP1R12B,962.8771665,-0.249802431,0.049269445,-5.070128814,3.98E-07,2.63E-06
C12orf27,0.1894152,-0.249824306,0.485270789,-0.514814226,0.606682843,0.690972729
C6orf81,5.718395151,-0.249829589,0.099149779,-2.519719081,0.011744853,0.024808917
ZNF658,50.37401453,-0.249847029,0.051096573,-4.889702259,1.01E-06,6.05E-06
IL18BP,313.9012945,-0.249868375,0.060060288,-4.160292642,3.18E-05,0.000132456
DENND3,372.7165809,-0.249942957,0.051195261,-4.882150239,1.05E-06,6.25E-06
CD33,70.86915838,-0.250031485,0.06227567,-4.014914437,5.95E-05,0.000231533
TKTL1,1.616437014,-0.250044945,0.196065562,-1.275312923,0.202198506,0.284879176
C3orf66,0.285884666,-0.250062067,0.597123644,-0.418777702,0.675378602,0.750066676
PDE3A,72.20215102,-0.250088577,0.104623996,-2.390355822,0.016832057,0.033986564
CD97,751.9163862,-0.250091429,0.064886148,-3.854311538,0.000116056,0.000420191
ETS1,2235.806836,-0.250138604,0.059726329,-4.188079351,2.81E-05,0.000118944
SLC9A3,2.868157047,-0.25015466,0.122611891,-2.040215327,0.041328884,0.074010775
RIN3,429.1914875,-0.250163444,0.051824803,-4.827098786,1.39E-06,8.04E-06
FOXO4,493.4115403,-0.25031129,0.043569167,-5.745147512,9.18E-09,8.66E-08
GJC3,22.43919376,-0.250346129,0.081428231,-3.074438999,0.002108988,0.005488327
CXCL12,2505.1566,-0.250398988,0.070586592,-3.547401568,0.000389051,0.001227474
FLJ39653,78.93485902,-0.250401839,0.053514375,-4.67915096,2.88E-06,1.55E-05
ZFYVE28,159.3355973,-0.250565829,0.058396407,-4.290774716,1.78E-05,7.89E-05
RPL27A,11811.06057,-0.250592649,0.04891863,-5.122642389,3.01E-07,2.06E-06
LINC00689,19.83469452,-0.250778887,0.13625855,-1.840463486,0.06570022,0.109898228
SEC16B,146.2401032,-0.250856906,0.071215673,-3.52249576,0.000427504,0.001334757
CNRIP1,171.1018104,-0.250891821,0.056669377,-4.427290989,9.54E-06,4.53E-05
CTF1,126.2454708,-0.251094233,0.085668131,-2.931010987,0.003378608,0.008320807
PSTK,53.49745667,-0.251202631,0.047613137,-5.275910127,1.32E-07,9.75E-07
BAI2,700.9223757,-0.251208959,0.102660986,-2.446975911,0.014406047,0.029754366
COBL,1095.66584,-0.251287838,0.080089996,-3.137568374,0.001703555,0.004545829
XCR1,3.440322554,-0.251412878,0.130221265,-1.930659161,0.053525216,0.092314123
ARID5B,1539.181019,-0.251783322,0.054121928,-4.652149893,3.28E-06,1.74E-05
ITIH4,56.25848335,-0.251934389,0.093496129,-2.694597006,0.007047381,0.015912861
MPPED2,80.3188546,-0.251983343,0.110401596,-2.282424824,0.022464271,0.043644937
PEG3AS,1.942513236,-0.252086622,0.257118089,-0.9804313,0.326873266,0.423099441
TGFB1I1,565.8845508,-0.252104925,0.060299923,-4.180849877,2.90E-05,0.000122373
DAAM2,394.2363492,-0.25213545,0.069825252,-3.610949394,0.000305078,0.000990945
SLC36A2,0.461569346,-0.252539333,0.319331835,-0.790836694,0.429039294,0.527235007
INO80B,287.9340049,-0.252619581,0.064821294,-3.89716967,9.73E-05,0.000359865
KCNJ11,393.941807,-0.252625408,0.088479794,-2.855176273,0.004301295,0.01028407
MASP2,16.33194475,-0.252724902,0.071381282,-3.540492628,0.000399381,0.001256442
CCDC130,401.9086745,-0.252789724,0.049846397,-5.071374001,3.95E-07,2.62E-06
CASP5,2.50345899,-0.252864555,0.14958365,-1.690455843,0.090940779,0.145246395
RPS27,769.3871567,-0.25288342,0.098986312,-2.554731203,0.010626983,0.022768259
ZSCAN10,0.42030994,-0.25291505,0.256961153,-0.984254027,0.324990628,0.421014187
C21orf129,0.984996661,-0.252918979,0.170764698,-1.481096399,0.138580887,0.207308447
TCEA2,383.5141893,-0.252958264,0.057773572,-4.378442482,1.20E-05,5.54E-05
TAL1,54.58728796,-0.25302248,0.067142375,-3.768446994,0.000164266,0.000573659
ZMYND17,104.1826773,-0.25304195,0.055365545,-4.570386682,4.87E-06,2.49E-05
METTL7A,1370.586534,-0.253079608,0.054581558,-4.636723775,3.54E-06,1.87E-05
RBPMS,1157.880724,-0.253545894,0.057212243,-4.431672008,9.35E-06,4.45E-05
TRIM17,65.37512724,-0.25360648,0.123653308,-2.050947811,0.040272029,0.07239618
HVCN1,129.9956075,-0.253710492,0.062735847,-4.044107252,5.25E-05,0.000207492
PPAP2A,752.8270561,-0.253710658,0.053540993,-4.738624418,2.15E-06,1.19E-05
GAL3ST1,6.174817055,-0.253749122,0.129660842,-1.957022019,0.05034488,0.087510693
HLA-DRA,15369.39972,-0.253764238,0.069481922,-3.652234027,0.000259969,0.000860502
ARPM1,42.85037283,-0.253775642,0.056255673,-4.511112002,6.45E-06,3.20E-05
ROBO4,416.6277217,-0.253950142,0.054344352,-4.672981371,2.97E-06,1.60E-05
C11orf61,162.0637182,-0.254020773,0.040860243,-6.216819986,5.07E-10,6.15E-09
NT5M,92.78125782,-0.254038565,0.07046269,-3.605291901,0.000311802,0.001009965
LOC285696,1.186148181,-0.254297818,0.146292193,-1.738286999,0.082160256,0.133167634
AGFG2,380.0907302,-0.254387889,0.045775767,-5.557261085,2.74E-08,2.35E-07
KCNQ1,199.8393423,-0.254396078,0.069296811,-3.671108003,0.000241501,0.000806406
TPM1,6311.612468,-0.254434679,0.051691705,-4.922156879,8.56E-07,5.23E-06
GDA,2.38015222,-0.254569926,0.236538717,-1.076229418,0.281824666,0.375208086
ABCC8,217.4718352,-0.254571469,0.15731489,-1.618228699,0.10561332,0.164748985
DEF6,460.6048147,-0.254620272,0.053230021,-4.783396011,1.72E-06,9.82E-06
HLA-DPA1,6285.89739,-0.254668397,0.069190461,-3.680686546,0.000232607,0.00078063
RPL18,13766.53486,-0.254689787,0.054050827,-4.712042405,2.45E-06,1.34E-05
WDTC1,1862.636476,-0.254690473,0.030692544,-8.298121834,1.06E-16,4.09E-15
LAMB2,5876.447495,-0.254702332,0.053277033,-4.780715394,1.75E-06,9.93E-06
KCNA6,23.09858646,-0.254764533,0.102293572,-2.490523383,0.01275551,0.026722205
PTPN14,222.9298793,-0.254801651,0.071771382,-3.550184549,0.000384961,0.001216428
ZNF177,75.43990422,-0.254870506,0.065766034,-3.875412446,0.000106444,0.000389333
IL28RA,120.6460661,-0.254914837,0.061579725,-4.139590402,3.48E-05,0.000143419
STARD5,107.4199367,-0.255035384,0.057198473,-4.458779577,8.24E-06,3.99E-05
PMS2P9,4.848947416,-0.255079195,0.045102958,-5.655487093,1.55E-08,1.39E-07
NFKBIE,457.8530317,-0.255084356,0.053877746,-4.734503149,2.20E-06,1.22E-05
VAX2,39.76395081,-0.255098553,0.109292329,-2.334093849,0.019590808,0.038729745
CLU,16966.52316,-0.255223415,0.094537473,-2.699706328,0.006940071,0.015701055
MFRP,620.7911383,-0.25523702,0.072781604,-3.50688918,0.000453378,0.001405865
HR,442.0546777,-0.255252343,0.112080665,-2.277398534,0.022762438,0.044122832
FAM86D,136.3917103,-0.255389028,0.04534921,-5.631609138,1.79E-08,1.58E-07
SPAG6,112.5629297,-0.255502369,0.234064848,-1.091587959,0.275014251,0.367773228
FHL3,478.0109798,-0.255526823,0.051067864,-5.003671622,5.62E-07,3.58E-06
CSDC2,47.53799931,-0.255574538,0.103500173,-2.469315074,0.013537197,0.028153676
PRND,80.18102846,-0.255585251,0.10961315,-2.331702455,0.01971635,0.03894068
TMEM132B,8.271924324,-0.255705419,0.095527125,-2.676783369,0.007433268,0.01667487
ABTB1,460.2724869,-0.255769595,0.052292283,-4.89115373,1.00E-06,6.01E-06
TPTE2P1,6.689555574,-0.255896394,0.094859302,-2.697641551,0.006983259,0.015785322
LYZ,4774.768519,-0.25595185,0.108234488,-2.364790133,0.018040291,0.036082521
KLHL3,116.7090024,-0.256000329,0.059231182,-4.322053323,1.55E-05,6.96E-05
PMCH,2.592211147,-0.256051195,0.108628617,-2.357124695,0.018417061,0.036717646
RPL13A,17033.22001,-0.256058793,0.050821396,-5.03840534,4.69E-07,3.06E-06
GPR34,158.8708355,-0.256132603,0.069663846,-3.676693376,0.000236277,0.000790522
MSLNL,1.891563668,-0.256244416,0.216475611,-1.183710322,0.236527751,0.324782551
NUDT11,46.65342262,-0.256435899,0.096338416,-2.661823902,0.007771853,0.017331977
PHF15,1194.675895,-0.25652259,0.055029324,-4.661561708,3.14E-06,1.67E-05
C6orf122,11.4867928,-0.256935139,0.065969476,-3.894757933,9.83E-05,0.000362887
FUZ,349.8961816,-0.256939372,0.058425115,-4.397755546,1.09E-05,5.13E-05
WWTR1,524.5024024,-0.256953966,0.068068031,-3.774958128,0.000160035,0.000560965
HOXD4,15.85902503,-0.257037139,0.100463232,-2.558519501,0.010511892,0.022571079
AGRN,5457.22755,-0.257057149,0.054570165,-4.71058039,2.47E-06,1.35E-05
ECHDC2,725.3641764,-0.257075132,0.05971043,-4.305363913,1.67E-05,7.44E-05
LOC728743,175.5792264,-0.257099093,0.050100408,-5.131676595,2.87E-07,1.97E-06
GZMH,42.58944552,-0.257154709,0.107601544,-2.389879355,0.016853908,0.034016911
ERF,1010.735922,-0.257180211,0.041625365,-6.178449403,6.47E-10,7.67E-09
ZNF300P1,20.37270573,-0.257231033,0.083666007,-3.07449873,0.002108566,0.005487996
LMOD2,0.850091877,-0.257332475,0.214873448,-1.197600157,0.231072715,0.318727486
RPS6KA2,799.7907619,-0.257345753,0.051749807,-4.972883304,6.60E-07,4.14E-06
RPL28,13619.70473,-0.257409723,0.061592356,-4.179247905,2.92E-05,0.000123127
CDK18,439.60507,-0.257635918,0.074144544,-3.474779175,0.000511274,0.001563063
10-Sep,1157.495192,-0.257639659,0.043065012,-5.982574916,2.20E-09,2.36E-08
ZNF423,194.5022467,-0.257698306,0.077925671,-3.306975774,0.00094309,0.002701454
SERPINB8,218.5610752,-0.257736673,0.052488669,-4.910329748,9.09E-07,5.51E-06
FGF16,1.073378744,-0.25779489,0.188584024,-1.367002811,0.171624424,0.248272744
GPR83,8.549935514,-0.257939654,0.123772377,-2.083984016,0.037161621,0.067523348
TUBB6,1417.265953,-0.258226097,0.061763407,-4.180891396,2.90E-05,0.000122373
RASA3,614.4808305,-0.258231021,0.051710347,-4.993797819,5.92E-07,3.75E-06
TOMM7,1815.306615,-0.258303586,0.046834871,-5.515198043,3.48E-08,2.92E-07
SLC25A29,983.7003189,-0.258314555,0.064344465,-4.014557506,5.96E-05,0.000231835
DRD4,12.4545543,-0.258318513,0.1064651,-2.426321052,0.01525277,0.031225787
EREG,30.7561055,-0.258410654,0.180875584,-1.428665212,0.153100481,0.225438671
NSMCE4A,544.4418131,-0.258445179,0.040493624,-6.382367196,1.74E-10,2.32E-09
IFNAR2,404.0053278,-0.258446697,0.047364837,-5.456509778,4.86E-08,3.94E-07
TLN2,749.0456258,-0.258487016,0.050471767,-5.121418007,3.03E-07,2.07E-06
LINC00663,97.29726084,-0.258547707,0.055172941,-4.686132372,2.78E-06,1.50E-05
NOD1,310.2465733,-0.258772516,0.039742488,-6.511230948,7.45E-11,1.07E-09
C17orf60,23.71316302,-0.258913244,0.06513848,-3.974812523,7.04E-05,0.000269052
C1RL,1003.450927,-0.259020225,0.042522097,-6.091426422,1.12E-09,1.27E-08
KAZALD1,192.1535548,-0.259081925,0.098031294,-2.642849176,0.008221165,0.018194365
MEF2C,571.4793564,-0.259251175,0.053452428,-4.850129072,1.23E-06,7.23E-06
CD44,10300.9406,-0.259436292,0.065954579,-3.933559953,8.37E-05,0.000314735
GEFT,316.0918089,-0.259460715,0.051377069,-5.050126796,4.42E-07,2.90E-06
CADM1,938.2784093,-0.259490943,0.072842952,-3.562334267,0.000367572,0.001166832
TNFRSF17,37.65125922,-0.259673439,0.144736361,-1.794113364,0.072795076,0.119896074
PSAT1,357.0345007,-0.259711729,0.144185463,-1.801233796,0.071666038,0.11830271
SNHG12,227.0355266,-0.259932783,0.062209689,-4.178332788,2.94E-05,0.000123567
LY6G6C,38.33340002,-0.260076301,0.15561097,-1.671323692,0.094657759,0.150255156
ITGAM,445.8996788,-0.260088038,0.072990823,-3.563297789,0.000366225,0.001162754
CRB1,4.934725199,-0.260146073,0.116334145,-2.236197067,0.025338865,0.048445472
MCTP1,123.8954596,-0.260282338,0.07750634,-3.358207044,0.000784498,0.002291642
CDC42EP3,577.1754463,-0.260388166,0.070140838,-3.71236177,0.000205334,0.000699709
CLDN15,118.1566888,-0.260454532,0.054618569,-4.768607764,1.86E-06,1.05E-05
RBM44,5.868232158,-0.260455261,0.079027318,-3.295762387,0.00098155,0.002797402
XIRP2,0.756702795,-0.260522071,0.356652934,-0.73046384,0.465106708,0.561649115
VAV1,231.9836202,-0.260552378,0.072059817,-3.615779093,0.000299446,0.000975033
GAS2,13.76476874,-0.260740131,0.098742338,-2.640611259,0.008275662,0.018293205
CARD10,440.8257343,-0.261041696,0.063527258,-4.109128961,3.97E-05,0.000161917
ZFHX4-AS1,7.48320875,-0.261083748,0.098808403,-2.642323331,0.008233941,0.018220472
SNHG8,748.8074267,-0.261169652,0.062109422,-4.204992494,2.61E-05,0.000111071
PDGFA,339.6204568,-0.261178623,0.05656241,-4.61753,3.88E-06,2.03E-05
FAM49A,83.81441974,-0.261351573,0.070686713,-3.697322501,0.000217885,0.000736408
ID1,287.9321199,-0.261390285,0.079395349,-3.292261929,0.00099385,0.002823803
MOBKL2C,362.8219041,-0.261446345,0.032841309,-7.960899043,1.71E-15,5.58E-14
PCDHB17,6.843703904,-0.261492868,0.129727981,-2.01570137,0.043831212,0.07784728
SLC24A4,4.88764255,-0.26168548,0.083059015,-3.150596962,0.001629372,0.004372339
SLC43A3,1265.143075,-0.261744613,0.067593954,-3.87230805,0.00010781,0.000393784
PRCD,6.50991476,-0.261829385,0.079053455,-3.312054909,0.000926134,0.002657794
RPL34,7285.842512,-0.261957911,0.048500808,-5.401104075,6.62E-08,5.24E-07
PLEKHO1,984.7328534,-0.261963055,0.060538735,-4.327197363,1.51E-05,6.82E-05
TRPC2,1.920694786,-0.261974812,0.123774859,-2.116543006,0.034298652,0.062960977
GTF2IRD1P1,5.028786671,-0.262046146,0.135521092,-1.933618909,0.053160001,0.09173299
HRNR,6.905225978,-0.262283879,0.105174795,-2.493790268,0.01263872,0.026495441
IER2,3005.552922,-0.262311885,0.067502756,-3.885943322,0.000101933,0.000374898
CRLF2,0.306187345,-0.26256789,0.22224141,-1.181453495,0.237422618,0.325962915
GPR174,15.50847812,-0.262572569,0.122520393,-2.143092771,0.03210565,0.05945763
TRIP10,786.9180683,-0.262652664,0.045544487,-5.766947497,8.07E-09,7.68E-08
PACSIN3,845.6354634,-0.262825194,0.067428806,-3.897817736,9.71E-05,0.0003594
APOLD1,690.3469146,-0.26295219,0.069389306,-3.789520386,0.000150938,0.000531384
EPB41L2,1321.068126,-0.263097708,0.058488068,-4.498314257,6.85E-06,3.38E-05
MCART6,16.91635723,-0.26316318,0.086068331,-3.057607548,0.002231116,0.005773027
ABAT,1443.286144,-0.26317438,0.101908574,-2.582455728,0.009809995,0.021290093
C7orf31,72.19887291,-0.263256762,0.061979974,-4.247448749,2.16E-05,9.39E-05
CLRN1OS,1.795305638,-0.263391722,0.170094732,-1.548500171,0.12150192,0.185458697
ACSL4,790.2231124,-0.263493749,0.062638297,-4.206591872,2.59E-05,0.000110465
VAMP2,1514.586184,-0.263528848,0.04370323,-6.029962778,1.64E-09,1.80E-08
ADAMTSL5,78.13808863,-0.263592662,0.093616696,-2.815658682,0.004867735,0.011474652
PCDHB19P,6.141737505,-0.26364005,0.079966697,-3.296873068,0.000977677,0.002788073
HCK,388.9442917,-0.263678907,0.068543801,-3.846867286,0.000119638,0.000431983
APBA3,238.7785074,-0.263710567,0.045703965,-5.769971291,7.93E-09,7.55E-08
SERPINA9,6.812624378,-0.263823244,0.145817397,-1.809271385,0.070408852,0.116548081
HLA-DQA1,2383.841729,-0.263841269,0.088535613,-2.980058083,0.002881937,0.007231672
PRNP,1885.347632,-0.26386429,0.063824526,-4.134214636,3.56E-05,0.000146396
KIAA0495,504.1406897,-0.263905492,0.041093708,-6.422041389,1.34E-10,1.84E-09
KCNJ2,121.5585971,-0.263916969,0.06934209,-3.806014075,0.000141224,0.000500788
KCNG2,2.493134913,-0.263985198,0.11404791,-2.314686863,0.020630075,0.040577281
C2orf77,148.0471063,-0.264173331,0.068014474,-3.884075209,0.00010272,0.000377418
SIK2,596.2774706,-0.264287766,0.047969823,-5.509458909,3.60E-08,3.00E-07
TCN2,495.923233,-0.264416145,0.057872986,-4.568904513,4.90E-06,2.50E-05
CSRP1,6377.618766,-0.264421963,0.048384874,-5.464971631,4.63E-08,3.77E-07
ZC4H2,133.1202797,-0.264455277,0.080554327,-3.282943178,0.001027294,0.002905952
IL1RN,307.2291333,-0.264458026,0.085558407,-3.090964817,0.001995073,0.005223305
FAIM3,384.0073924,-0.264471283,0.082267077,-3.214788863,0.001305405,0.00358948
CYB5D2,495.1451634,-0.264618307,0.058581637,-4.51708623,6.27E-06,3.12E-05
SHBG,2.263687253,-0.264788386,0.066389098,-3.988431762,6.65E-05,0.000255588
C17orf99,0.655073637,-0.264813154,0.172120866,-1.538530218,0.123919026,0.188498402
ZC3H12D,14.71930165,-0.264823645,0.093250071,-2.839929678,0.004512348,0.010732118
FBLN1,4754.439862,-0.264877855,0.072518285,-3.652566451,0.000259632,0.000859541
CD2,351.2492926,-0.264977444,0.100397524,-2.639282653,0.008308168,0.018358514
PAX1,15.33127826,-0.264990042,0.16991828,-1.559514616,0.118874628,0.182001087
NAB1,838.3345553,-0.26506791,0.045757942,-5.792828532,6.92E-09,6.69E-08
MIR17HG,27.12158132,-0.265366382,0.078756484,-3.369454423,0.000753171,0.002214391
HSPA12B,200.905671,-0.265423331,0.068458241,-3.877156742,0.000105684,0.00038701
SATB1,408.9177444,-0.265430375,0.074896504,-3.54396214,0.000394162,0.001241667
ZIC3,1.724956453,-0.265431504,0.29237552,-0.907844489,0.36396039,0.461973609
C1orf111,3.172565841,-0.265449745,0.145093062,-1.829513702,0.067322689,0.112228618
HCG11,356.0736361,-0.26573301,0.058424989,-4.548276593,5.41E-06,2.73E-05
ETS2,1106.473993,-0.265865437,0.055027375,-4.831512308,1.35E-06,7.88E-06
SHROOM4,265.050654,-0.265870172,0.058511268,-4.543914026,5.52E-06,2.78E-05
LRRC36,10.15910711,-0.265963237,0.097765184,-2.720428958,0.006519728,0.014884058
C1orf113,261.347176,-0.265973041,0.07758758,-3.428036316,0.000607964,0.001826414
TFAP2D,0.096497495,-0.266182585,1.495293244,-0.178013635,0.858712268,0.897762196
WISP2,537.2789497,-0.266198232,0.108424569,-2.455146797,0.014082707,0.029161018
TMEM171,10.71365742,-0.266218269,0.139108647,-1.913743509,0.055652937,0.095382323
SRGN,1244.964473,-0.266322828,0.067515664,-3.944607986,7.99E-05,0.000301731
HLA-DMA,1375.5322,-0.26642345,0.063825482,-4.174248932,2.99E-05,0.000125557
GSG1L,3.230580456,-0.266463668,0.168820692,-1.578382753,0.114477705,0.176372667
CIRBP,5354.037753,-0.266500948,0.051259467,-5.199058095,2.00E-07,1.42E-06
PRG2,13.19882313,-0.266521486,0.110135963,-2.419931489,0.015523431,0.031724313
DYRK3,215.9781473,-0.266578402,0.0613319,-4.346488591,1.38E-05,6.30E-05
NOTCH4,474.7310977,-0.266580979,0.053286179,-5.0028166,5.65E-07,3.60E-06
PCDHB10,87.77644512,-0.266591315,0.073870769,-3.608887757,0.000307513,0.000997807
SLC18A2,18.9379656,-0.26661821,0.130759699,-2.038993753,0.041450651,0.074200256
SLIT3,773.2866128,-0.266632998,0.07497947,-3.55608006,0.000376429,0.001192101
MGP,41409.14342,-0.266691674,0.110222539,-2.419574757,0.015538666,0.031751665
MMP16,146.3853937,-0.266758127,0.100524264,-2.653669029,0.007962188,0.0176928
OR2L13,1.673372373,-0.266796359,0.175124074,-1.523470485,0.12764104,0.193290644
C8orf12,0.142895941,-0.266800025,0.581546069,-0.458777111,0.646394233,0.725676728
RHBDL2,96.06558847,-0.266954049,0.079213698,-3.370049072,0.000751548,0.002210316
GPR113,5.286673535,-0.266985962,0.043238069,-6.174789183,6.63E-10,7.82E-09
TIGIT,103.0801656,-0.267034444,0.111714621,-2.390326723,0.01683339,0.033986564
SLC22A17,670.045732,-0.267125685,0.083210499,-3.210240149,0.001326241,0.003639239
CALB2,258.3413315,-0.267129467,0.137098749,-1.948445688,0.051361658,0.089028469
AMOTL1,994.1052538,-0.267219505,0.06866903,-3.891412249,9.97E-05,0.000367418
SIGLEC10,175.9344016,-0.267299844,0.071524615,-3.737172769,0.000186101,0.000641099
SH3BGRL2,380.8637805,-0.267377763,0.068598842,-3.897700847,9.71E-05,0.000359434
MBLAC1,42.359952,-0.26745519,0.067191143,-3.980512582,6.88E-05,0.00026333
SNHG3,69.82395909,-0.267529896,0.072553926,-3.687324871,0.000226624,0.000762754
PID1,104.7424883,-0.267587191,0.082151678,-3.257233419,0.001125039,0.003145532
MUSK,0.408500289,-0.267608284,0.252828796,-1.058456506,0.28984737,0.383937841
RPLP2,11255.19537,-0.267661292,0.057209016,-4.678655777,2.89E-06,1.55E-05
FBXL15,201.2136527,-0.267798759,0.068671094,-3.899730499,9.63E-05,0.000356931
IL12B,5.91106803,-0.26780267,0.131717875,-2.033153587,0.042037008,0.075105314
EFCAB4A,1320.059226,-0.267812059,0.086025448,-3.113172488,0.001850878,0.004897493
